rank,combination,score_mode,robust_loss,robust_f_scale,q_min,q_max,drop_outliers,n_removed_outliers,include_mean_candidate,exact_nonempty,refine_top_n,refine_max_nfev,refine_target_logrmse,refine_stall_patience,refine_stall_tol,refine_attempted,refine_success,refine_nfev,refine_residual_calls,refine_early_stop_reason,refine_best_log_rmse_seen,refine_message,rejected_empty,rejected_exact_nonempty,rejected_forward,rejected_nonfinite,best_source,unrefined_best_source,score_weighted_probability,posterior_frequency,chi2_weighted_probability,fit_percent_by_log_rmse,fit_percent_by_chi2,best_score,best_log_rmse,best_chi2_weighted,best_robust_log,best_relative_rmse,best_linear_rmse,unrefined_best_score,unrefined_best_log_rmse,unrefined_best_chi2_weighted
1,sphere+vertical_cylinder+vertical_cylinder,unweighted_log,huber,0.3,,,False,0,True,,0,80,0.0,80,0.0001,False,False,0,0,,,,0,0,0,0,mean,mean,0.2433570604833873,0.2222222222222222,0.9999957282864734,0.0,0.0,0.703429430540906,0.703429430540906,197.9251855004413,0.10755663130820657,12.41940736645314,12910.55118403677,0.703429430540906,0.703429430540906,197.9251855004413
2,cylinder+sphere+vertical_cylinder+vertical_cylinder,unweighted_log,huber,0.3,,,False,0,True,,0,80,0.0,80,0.0001,False,False,0,0,,,,0,0,0,0,sample,sample,0.23509645798570017,0.2222222222222222,4.271713526545454e-06,0.0,0.0,0.7460766850513619,0.7460766850513619,222.65216799089163,0.13029651203878126,7.803721009652081,17029.315839315834,0.7460766850513619,0.7460766850513619,222.65216799089163
3,sphere+sphere+vertical_cylinder,unweighted_log,huber,0.3,,,False,0,True,,0,80,0.0,80,0.0001,False,False,0,0,,,,0,0,0,0,sample,sample,0.2315898108625384,0.2222222222222222,1.0225370367941052e-23,0.0,0.0,0.8714922799063648,0.8714922799063648,303.7995175745574,0.14443102911306407,28.292792253538046,17466.168666324367,0.8714922799063648,0.8714922799063648,303.7995175745574
