file_index,file_name,timestamp,load_status,cut_status,fit_status,chi_square,fitted_parameters,error_message,Int1,R1,sigma_R1,D1,sigma_D1,Int2,R2,sigma_R2,D2,sigma_D2,Int3,R3,sigma_R3,D3,sigma_D3,BG,sigma_Res,nu_Res,int_Res,k
1,jg_gisaxs_4nm_old_3ml_insitu_ds03_00001_00045.cbf,2026-06-18T17:17:07,ok,ok,ok,3471315.2867474686,"{""BG"": 0.354367, ""D1"": 10.438, ""D2"": 6.375, ""D3"": 6.354, ""Int1"": 0.093883, ""Int2"": 0.02582, ""Int3"": 0.39312, ""R1"": 13.125, ""R2"": 3.201, ""R3"": 65.771, ""int_Res"": 0.055648, ""k"": 14845.3834, ""nu_Res"": 4.3622, ""sigma_D1"": 2.1073, ""sigma_D2"": 0.7325, ""sigma_D3"": 17.503, ""sigma_R1"": 4.0671, ""sigma_R2"": 0.6288, ""sigma_R3"": 10.9475, ""sigma_Res"": 0.060492}",,0.093883,13.125,4.0671,10.438,2.1073,0.02582,3.201,0.6288,6.375,0.7325,0.39312,65.771,10.9475,6.354,17.503,0.354367,0.060492,4.3622,0.055648,14845.3834
2,jg_gisaxs_4nm_old_3ml_insitu_ds03_00001_00033.cbf,2026-06-18T17:18:49,ok,ok,ok,4976603.933185418,"{""BG"": 0.43328, ""D1"": 10.438, ""D2"": 6.375, ""D3"": 6.354, ""Int1"": 0.089809, ""Int2"": 0.026375, ""Int3"": 0.430137, ""R1"": 13.125, ""R2"": 3.201, ""R3"": 65.771, ""int_Res"": 0.067782, ""k"": 14524.9872, ""nu_Res"": 4.3622, ""sigma_D1"": 2.1073, ""sigma_D2"": 0.7325, ""sigma_D3"": 17.503, ""sigma_R1"": 4.0671, ""sigma_R2"": 0.6288, ""sigma_R3"": 10.9475, ""sigma_Res"": 0.060492}",,0.089809,13.125,4.0671,10.438,2.1073,0.026375,3.201,0.6288,6.375,0.7325,0.430137,65.771,10.9475,6.354,17.503,0.43328,0.060492,4.3622,0.067782,14524.9872
