# q	I	sigma_I
2.974530000000000229e-01 4.133715270000000051e-04 5.204633154511033484e-03
2.981989999999999919e-01 -4.813248929999999976e-04 5.204283256408791421e-03
2.989459999999999895e-01 -1.913221929999999967e-04 5.204283256408791421e-03
2.996920000000000139e-01 1.402588800000000187e-04 5.204401981097594651e-03
3.004380000000000384e-01 5.913326670000000175e-06 5.204288261906760658e-03
3.011849999999999805e-01 2.482609669999999696e-04 5.204493399589584651e-03
3.019310000000000049e-01 2.056298200000000092e-04 5.204457314597515580e-03
3.026780000000000026e-01 2.794134399999999795e-04 5.204519768338151248e-03
3.034239999999999715e-01 1.691272070000000220e-04 5.204426416883763465e-03
3.041710000000000247e-01 3.040922329999999922e-04 5.204540657399931922e-03
3.049169999999999936e-01 5.338264670000000258e-04 5.204735109103046306e-03
3.056630000000000180e-01 2.554148129999999814e-04 5.204499454914136326e-03
3.064100000000000157e-01 2.684163869999999712e-04 5.204510459990456181e-03
3.071559999999999846e-01 -6.831376670000000473e-05 5.204283256408791421e-03
3.079030000000000378e-01 3.879673530000000200e-04 5.204611651840285354e-03
3.086489999999999512e-01 4.333499400000000667e-04 5.204650064631846651e-03
3.093960000000000043e-01 -5.116053329999999926e-06 5.204283256408791421e-03
3.101420000000000288e-01 4.821198999999999645e-04 5.204691344252277731e-03
3.108879999999999977e-01 5.556555999999999252e-05 5.204330291215118059e-03
3.116349999999999953e-01 -2.147010670000000065e-05 5.204283256408791421e-03
3.123810000000000198e-01 -2.071279669999999960e-04 5.204283256408791421e-03
3.131280000000000174e-01 2.520117200000000063e-04 5.204496574389966441e-03
3.138739999999999863e-01 2.209118270000000155e-04 5.204470250030095689e-03
3.146209999999999840e-01 -1.158801999999999955e-05 5.204283256408791421e-03
3.153670000000000084e-01 3.504388670000000133e-04 5.204579886713513355e-03
3.161130000000000329e-01 -5.162716670000000766e-05 5.204283256408791421e-03
3.168599999999999750e-01 -7.911253999999999455e-05 5.204283256408791421e-03
3.176059999999999994e-01 3.621948929999999913e-04 5.204589837353110378e-03
3.183529999999999971e-01 1.141737000000000145e-04 5.204379901025923440e-03
3.190989999999999660e-01 1.110673999999999998e-04 5.204377271659767212e-03
3.198460000000000192e-01 8.144354799999999972e-04 5.204972612392584977e-03
3.205919999999999881e-01 2.136495399999999839e-04 5.204464102881845196e-03
3.213389999999999858e-01 -1.069326399999999893e-04 5.204283256408791421e-03
3.220850000000000102e-01 2.251030200000000449e-04 5.204473797653692488e-03
3.228309999999999791e-01 -3.643834200000000269e-04 5.204283256408791421e-03
3.235780000000000323e-01 3.750419999999999915e-05 5.204315002788643604e-03
3.243240000000000012e-01 3.386357669999999704e-04 5.204569896209984732e-03
3.250709999999999988e-01 -3.947082670000000065e-05 5.204283256408791421e-03
3.258170000000000233e-01 3.069622669999999830e-05 5.204309240021623081e-03
3.265639999999999654e-01 1.322361199999999939e-04 5.204395190159000206e-03
3.273099999999999898e-01 1.250373270000000104e-04 5.204389096667268177e-03
3.280560000000000143e-01 2.895902199999999854e-04 5.204528382358976878e-03
3.288030000000000119e-01 1.287582600000000211e-04 5.204392246289834406e-03
3.295489999999999808e-01 -1.350716269999999966e-04 5.204283256408791421e-03
3.302959999999999785e-01 9.286493329999999759e-05 5.204361863929404808e-03
3.310420000000000029e-01 3.262302599999999898e-04 5.204559395790142942e-03
3.317890000000000006e-01 -3.614150670000000387e-05 5.204283256408791421e-03
3.325349999999999695e-01 -4.401462000000000516e-05 5.204283256408791421e-03
3.332809999999999939e-01 6.697300000000000235e-06 5.204288925522182821e-03
3.340280000000000471e-01 -3.961453330000000003e-06 5.204283256408791421e-03
3.347739999999999605e-01 1.111010399999999950e-04 5.204377300134769950e-03
3.355210000000000137e-01 -9.345818000000001124e-05 5.204283256408791421e-03
3.362669999999999826e-01 -1.592024600000000031e-04 5.204283256408791421e-03
3.370139999999999803e-01 1.505020000000000034e-05 5.204295996054978356e-03
3.377600000000000047e-01 3.951034399999999781e-04 5.204617691995620452e-03
3.385059999999999736e-01 1.052143799999999987e-04 5.204372317294796851e-03
3.392530000000000268e-01 -1.270797529999999939e-04 5.204283256408791421e-03
3.399989999999999957e-01 2.926859270000000302e-04 5.204531002682476724e-03
3.407459999999999933e-01 -1.210195269999999961e-04 5.204283256408791421e-03
3.414920000000000178e-01 3.818394799999999534e-04 5.204606465055887539e-03
3.422389999999999599e-01 -2.930229730000000025e-04 5.204283256408791421e-03
3.429849999999999843e-01 5.210916599999999670e-04 5.204724330294973646e-03
3.437310000000000088e-01 1.761259999999999719e-06 5.204284747276253890e-03
3.444780000000000064e-01 5.956750000000000456e-04 5.204787457711388537e-03
3.452239999999999753e-01 -4.145698329999999727e-04 5.204283256408791421e-03
3.459710000000000285e-01 -7.565443329999999695e-05 5.204283256408791421e-03
3.467169999999999974e-01 -2.825982129999999692e-04 5.204283256408791421e-03
3.474639999999999951e-01 3.646702270000000043e-04 5.204591932544803262e-03
3.482099999999999640e-01 5.141742270000000149e-04 5.204718475333700023e-03
3.489559999999999884e-01 -2.768041999999999747e-04 5.204283256408791421e-03
3.497030000000000416e-01 5.819498669999999724e-05 5.204332516946133351e-03
3.504489999999999550e-01 -4.148880070000000018e-04 5.204283256408791421e-03
3.511960000000000082e-01 2.012062069999999837e-04 5.204453570230731067e-03
3.519420000000000326e-01 3.415946670000000294e-06 5.204286147931371821e-03
3.526889999999999747e-01 7.372858070000000950e-04 5.204907315138537598e-03
3.534349999999999992e-01 3.534201329999999845e-05 5.204313172556216185e-03
3.541809999999999681e-01 -7.421673330000000053e-06 5.204283256408791421e-03
3.549280000000000213e-01 3.023958329999999859e-04 5.204539221505632626e-03
3.556739999999999902e-01 2.726921600000000085e-04 5.204514079178570313e-03
3.564209999999999878e-01 3.962798799999999854e-04 5.204618687762003863e-03
3.571670000000000122e-01 2.039227669999999881e-04 5.204455869662992853e-03
3.579140000000000099e-01 -8.824735329999999767e-05 5.204283256408791421e-03
3.586599999999999788e-01 6.010053530000000494e-04 5.204791969298386625e-03
3.594060000000000032e-01 2.429638200000000146e-04 5.204488915850801617e-03
3.601530000000000009e-01 1.095449929999999964e-04 5.204375982998998840e-03
3.608989999999999698e-01 -3.780245329999999552e-05 5.204283256408791421e-03
3.616460000000000230e-01 3.212016069999999767e-04 5.204555139370586718e-03
3.623919999999999919e-01 3.777197069999999870e-04 5.204602977974460108e-03
3.631389999999999896e-01 -6.688993730000000618e-04 5.204283256408791421e-03
3.638850000000000140e-01 -4.159539800000000348e-04 5.204283256408791421e-03
3.646309999999999829e-01 3.268078799999999838e-04 5.204559884706746326e-03
3.653780000000000361e-01 6.050454930000000002e-04 5.204795388852252389e-03
3.661240000000000050e-01 7.028165600000000268e-04 5.204878141099079057e-03
3.668710000000000027e-01 3.057086270000000097e-04 5.204542025573891464e-03
3.676170000000000271e-01 -2.536218269999999920e-04 5.204283256408791421e-03
3.683639999999999692e-01 2.398289329999999937e-05 5.204303557358494828e-03
3.691099999999999937e-01 -1.304345730000000059e-04 5.204283256408791421e-03
3.698569999999999913e-01 -2.776374670000000025e-05 5.204283256408791421e-03
3.706030000000000157e-01 3.765526669999999749e-06 5.204286443842945711e-03
3.713489999999999847e-01 -1.086874799999999909e-04 5.204283256408791421e-03
3.720959999999999823e-01 -7.613895999999999446e-05 5.204283256408791421e-03
3.728420000000000067e-01 -4.754813329999999806e-05 5.204283256408791421e-03
3.735890000000000044e-01 1.384446669999999754e-05 5.204294975430777750e-03
3.743349999999999733e-01 3.771228869999999509e-04 5.204602472810525987e-03
3.750820000000000265e-01 3.257414670000000420e-05 5.204310829631232822e-03
3.758279999999999954e-01 5.531784670000000669e-04 5.204751488695576710e-03
3.765739999999999643e-01 5.519931200000000341e-04 5.204750485415699131e-03
3.773210000000000175e-01 -4.003862269999999856e-04 5.204283256408791421e-03
3.780669999999999864e-01 2.910627869999999717e-04 5.204529628795549756e-03
3.788139999999999841e-01 7.946194869999998866e-04 5.204955840786858363e-03
3.795600000000000085e-01 3.672988670000000517e-05 5.204314347353499078e-03
3.803070000000000062e-01 2.292398730000000135e-04 5.204477299278975622e-03
3.810530000000000306e-01 5.620904270000000357e-04 5.204759031788692113e-03
3.817989999999999995e-01 -1.605325399999999977e-04 5.204283256408791421e-03
3.825459999999999972e-01 1.268616270000000193e-04 5.204390640865278091e-03
3.832920000000000216e-01 4.877213129999999840e-04 5.204696085350696971e-03
3.840389999999999637e-01 6.181966799999999949e-04 5.204806519934215663e-03
3.847849999999999882e-01 -7.754305269999999754e-04 5.204283256408791421e-03
3.855320000000000413e-01 2.092570929999999730e-04 5.204460384900376491e-03
3.862780000000000102e-01 6.560473669999999317e-04 5.204838556384782690e-03
3.870239999999999791e-01 -2.928561199999999841e-04 5.204283256408791421e-03
3.877709999999999768e-01 -2.004691000000000014e-04 5.204283256408791421e-03
3.885170000000000012e-01 -1.994339270000000089e-04 5.204283256408791421e-03
3.892639999999999989e-01 3.661559730000000222e-04 5.204593190121224733e-03
3.900099999999999678e-01 8.016339999999999892e-05 5.204351112513383448e-03
3.907570000000000210e-01 4.946717730000000767e-04 5.204701968291534572e-03
3.915030000000000454e-01 7.108528929999999996e-04 5.204884942895472537e-03
3.922489999999999588e-01 7.526828930000000785e-04 5.204920346852669882e-03
3.929960000000000120e-01 1.507240670000000056e-04 5.204410839437547710e-03
3.937419999999999809e-01 -5.533400330000000150e-04 5.204283256408791421e-03
3.944889999999999786e-01 -5.841368670000000922e-05 5.204283256408791421e-03
3.952350000000000030e-01 6.351018000000000592e-05 5.204337016095296822e-03
3.959820000000000007e-01 3.250740800000000174e-04 5.204558417161151730e-03
3.967280000000000251e-01 -1.571410600000000231e-04 5.204283256408791421e-03
3.974739999999999940e-01 1.279787049999999912e-03 5.205366455144569068e-03
3.982209999999999916e-01 -1.275247600000000065e-04 5.204283256408791421e-03
3.989670000000000161e-01 2.376401200000000167e-04 5.204484409632496866e-03
3.997140000000000137e-01 4.884030200000000210e-04 5.204696662354808129e-03
4.004599999999999826e-01 1.131172589999999978e-03 5.205240680945998240e-03
4.012070000000000358e-01 -1.509403999999999923e-05 5.204283256408791421e-03
4.019530000000000047e-01 6.896528729999999979e-04 5.204866999590497013e-03
4.026989999999999736e-01 6.510068529999999331e-04 5.204834290154507388e-03
4.034460000000000268e-01 2.292091869999999783e-04 5.204477273304922852e-03
4.041919999999999957e-01 8.094681529999999672e-04 5.204968408215213289e-03
4.049389999999999934e-01 3.415846669999999651e-06 5.204286147846724254e-03
4.056850000000000178e-01 8.948767400000000403e-04 5.205040694678439092e-03
4.064320000000000155e-01 -7.413077129999999385e-04 5.204283256408791421e-03
4.071780000000000399e-01 3.040396200000000508e-04 5.204540612866391872e-03
4.079239999999999533e-01 -4.223657729999999596e-04 5.204283256408791421e-03
4.086710000000000065e-01 2.261299529999999760e-04 5.204474666897889942e-03
4.094170000000000309e-01 -2.373047670000000015e-04 5.204283256408791421e-03
4.101640000000000286e-01 1.477755999999999883e-04 5.204408343685961412e-03
4.109100000000000530e-01 3.215092670000000048e-04 5.204555399784368402e-03
4.116569999999999951e-01 -4.821079129999999947e-04 5.204283256408791421e-03
4.124029999999999641e-01 8.520360000000001209e-06 5.204290468700283750e-03
4.131500000000000172e-01 -4.190894670000000840e-05 5.204283256408791421e-03
4.138959999999999861e-01 -5.794112400000000704e-04 5.204283256408791421e-03
4.146420000000000106e-01 -5.281194069999999626e-04 5.204283256408791421e-03
4.153890000000000082e-01 -6.678450999999999528e-04 5.204283256408791421e-03
4.161350000000000326e-01 8.006476530000000268e-04 5.204960942834318226e-03
4.168819999999999748e-01 -3.862158000000000301e-04 5.204283256408791421e-03
4.176279999999999992e-01 1.189166840000000077e-03 5.205289762536379622e-03
4.183749999999999969e-01 3.024865000000000388e-04 5.204539298249469606e-03
4.191210000000000213e-01 -6.193693929999999868e-04 5.204283256408791421e-03
4.198669999999999902e-01 -4.228698999999999609e-04 5.204283256408791421e-03
4.206140000000000434e-01 -4.263825869999999835e-04 5.204283256408791421e-03
4.213600000000000123e-01 -1.142963869999999899e-04 5.204283256408791421e-03
4.221069999999999545e-01 -4.506702670000000647e-05 5.204283256408791421e-03
4.228529999999999789e-01 -8.282197999999999947e-05 5.204283256408791421e-03
4.235999999999999766e-01 1.674591230000000179e-03 5.205700567894262602e-03
4.243460000000000010e-01 -2.024926469999999883e-04 5.204283256408791421e-03
4.250920000000000254e-01 -1.094494980000000096e-03 5.204283256408791421e-03
4.258390000000000231e-01 1.337942130000000028e-04 5.204396509021766599e-03
4.265850000000000475e-01 -2.383691730000000075e-04 5.204283256408791421e-03
4.273319999999999896e-01 -2.435770600000000067e-04 5.204283256408791421e-03
4.280779999999999585e-01 -1.268301799999999892e-04 5.204283256408791421e-03
4.288250000000000117e-01 1.107462930000000081e-04 5.204376999854689635e-03
4.295709999999999806e-01 -6.503845800000000125e-04 5.204283256408791421e-03
4.303170000000000051e-01 3.113704530000000283e-04 5.204546817944012867e-03
4.310640000000000582e-01 -8.213007069999999537e-04 5.204283256408791421e-03
4.318100000000000271e-01 4.797337999999999570e-05 5.204323864656603543e-03
4.325569999999999693e-01 1.099591140000000114e-03 5.205213952794840622e-03
4.333029999999999937e-01 2.336175470000000196e-04 5.204481004743817703e-03
4.340499999999999914e-01 1.007923630000000063e-03 5.205136371568741885e-03
4.347960000000000158e-01 -9.330875930000001031e-04 5.204283256408791421e-03
4.355419999999999847e-01 -4.112518000000000255e-05 5.204283256408791421e-03
4.362890000000000379e-01 1.483285899999999859e-03 5.205538673730582613e-03
4.370350000000000623e-01 1.166286450000000039e-03 5.205270398500737306e-03
4.377819999999999490e-01 4.774381930000000471e-04 5.204687381599958605e-03
4.385279999999999734e-01 8.267332929999999819e-04 5.204983020830477800e-03
4.392750000000000266e-01 -9.596865199999998330e-04 5.204283256408791421e-03
4.400209999999999955e-01 -1.481839999999999987e-06 5.204283256408791421e-03
4.407670000000000199e-01 -3.005031929999999666e-04 5.204283256408791421e-03
4.415140000000000176e-01 5.687401730000000467e-04 5.204764660134174499e-03
4.422600000000000420e-01 8.992605070000000674e-04 5.205044404899036858e-03
4.430069999999999841e-01 -4.646963930000000127e-04 5.204283256408791421e-03
4.437529999999999530e-01 1.916312629999999961e-03 5.205905119992021782e-03
4.445000000000000062e-01 -5.780955269999999953e-04 5.204283256408791421e-03
4.452460000000000306e-01 3.616655670000000120e-04 5.204589389316721139e-03
4.459919999999999995e-01 -5.124031930000000215e-04 5.204283256408791421e-03
4.467390000000000527e-01 2.505234669999999771e-04 5.204495314668165611e-03
4.474850000000000216e-01 1.389717829999999885e-03 5.205459488925786096e-03
4.482319999999999638e-01 1.378337959999999945e-03 5.205449858284991703e-03
4.489779999999999882e-01 -1.392515139999999860e-03 5.204283256408791421e-03
4.497249999999999859e-01 9.604470470000000442e-04 5.205096190121833409e-03
4.504710000000000103e-01 8.666060730000000505e-04 5.205016767610811529e-03
4.512170000000000347e-01 3.697533670000000060e-04 5.204596235053537100e-03
