# q	I	sigma_I
3.620199999999999807e-02 1.613191620000000229e-02 5.217920699092932005e-03
3.694800000000000167e-02 1.418216240000000003e-02 5.216274329356727565e-03
3.769499999999999934e-02 1.463491600000000128e-02 5.216656680264382222e-03
3.844100000000000295e-02 1.227574330000000095e-02 5.214664048798608315e-03
3.918800000000000061e-02 9.739679470000000075e-03 5.212521159967616752e-03
3.993399999999999728e-02 8.850512129999999963e-03 5.211769634793091133e-03
4.068100000000000188e-02 6.739597370000001073e-03 5.209985053241699554e-03
4.142699999999999855e-02 7.189505109999999241e-03 5.210365459528477558e-03
4.217300000000000215e-02 5.827556939999999942e-03 5.209213818984838144e-03
4.291999999999999982e-02 4.279346470000000568e-03 5.207904368872078027e-03
4.366600000000000342e-02 5.100257270000000190e-03 5.208598722279442900e-03
4.441300000000000109e-02 3.651230039999999507e-03 5.207373024773679152e-03
4.515899999999999775e-02 3.931860120000000083e-03 5.207610425577257132e-03
4.590600000000000236e-02 3.861700179999999743e-03 5.207551074343788437e-03
4.665199999999999902e-02 2.696016649999999869e-03 5.206564874792974501e-03
4.739800000000000263e-02 2.513574989999999704e-03 5.206410507345757277e-03
4.814500000000000030e-02 2.870768569999999995e-03 5.206712731509816755e-03
4.889100000000000390e-02 3.709162709999999988e-03 5.207422034171359064e-03
4.963800000000000157e-02 2.891028360000000210e-03 5.206729872944198916e-03
5.038399999999999823e-02 2.452192310000000236e-03 5.206358569233867847e-03
5.113100000000000284e-02 3.803497610000000032e-03 5.207501837837368724e-03
5.187699999999999950e-02 2.835030730000000221e-03 5.206682494245438650e-03
5.262300000000000311e-02 2.054740680000000097e-03 5.206022258454577438e-03
5.337000000000000771e-02 2.437141149999999708e-03 5.206345833822388983e-03
5.411599999999999744e-02 2.487069010000000132e-03 5.206388079738272570e-03
5.486300000000000204e-02 2.049778950000000037e-03 5.206018059861016074e-03
5.560900000000000565e-02 2.923530550000000110e-03 5.206757372329375022e-03
5.635599999999999637e-02 3.055453010000000469e-03 5.206868987518311828e-03
5.710199999999999998e-02 2.324174239999999940e-03 5.206250246834478144e-03
5.784800000000000358e-02 1.616741299999999984e-03 5.205651612308749218e-03
5.859500000000000125e-02 1.945261030000000092e-03 5.205929616481291995e-03
5.934099999999999792e-02 8.152744400000000316e-04 5.204973322459585834e-03
6.008800000000000252e-02 1.828484249999999880e-03 5.205830797839909423e-03
6.083400000000000613e-02 6.220131870000000481e-04 5.204809750197280510e-03
6.158099999999999685e-02 2.702706070000000403e-04 5.204512029477963153e-03
6.232700000000000046e-02 1.071104469999999880e-03 5.205189843713722841e-03
6.307300000000000406e-02 9.363503400000000153e-04 5.205075795937460885e-03
6.382000000000000173e-02 1.792081739999999918e-03 5.205799992988410785e-03
